0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"Penduduk Berumur 15 Tahun Ke Atas Menurut Pendidikan Tertinggi yang Ditamatkan dan Jenis Kegiatan Selama Seminggu yang Lalu, 2008-2015",,,,,,,,,,,,,,,,,,,,
Pendidikan Tertinggi yang Ditamatkan,2008 Februari,,,,,,,,,,2008 Agustus,,,,,,,,,
,Angkatan Kerja (AK),,,,Bukan Angkatan Kerja (BAK),,,,Jumlah Penduduk Usia 15 tahun ke Atas,Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK),Angkatan Kerja (AK),,,,Bukan Angkatan Kerja (BAK),,,,Jumlah Penduduk Usia 15 tahun ke Atas,Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK)
,Bekerja,Pengangguran,Jumlah AK,% Bekerja / AK,Sekolah,Mengurus,Lainnya,Jumlah BAK,,,Bekerja,Pengangguran,Jumlah AK,% Bekerja / AK,Sekolah,Mengurus,Lainnya,Jumlah BAK,,
Tidak/belum pernah sekolah," 5,670,322 "," 79,764 "," 5,750,086 ",98.61, -   ," 2,568,957 "," 1,599,878 "," 4,168,835 "," 9,918,921 ",57.97," 5,468,130 "," 103,206 "," 5,571,336 ",98.15, -   ," 2,533,767 "," 1,729,293 "," 4,263,060 "," 9,834,396 ",56.65
Tidak/belum tamat SD," 12,982,233 "," 448,431 "," 13,430,664 ",96.66," 95,968 "," 4,263,968 "," 1,429,761 "," 5,789,697 "," 19,220,361 ",69.88," 13,108,831 "," 443,832 "," 13,552,663 ",96.73," 86,298 "," 4,415,579 "," 1,484,521 "," 5,986,398 "," 19,539,061 ",69.36
SD," 36,963,023 "," 2,216,748 "," 39,179,771 ",94.34," 3,154,334 "," 11,592,816 "," 2,589,403 "," 17,336,553 "," 56,516,324 ",69.32," 36,756,953 "," 2,099,968 "," 38,856,921 ",94.60," 2,579,685 "," 12,138,922 "," 2,442,775 "," 17,161,382 "," 56,018,303 ",69.36
SLTP," 19,396,319 "," 2,166,619 "," 21,562,938 ",89.95," 7,252,367 "," 6,693,408 "," 1,240,744 "," 15,186,519 "," 36,749,457 ",58.68," 19,039,193 "," 1,973,986 "," 21,013,179 ",90.61," 7,788,641 "," 6,656,912 "," 1,452,919 "," 15,898,472 "," 36,911,651 ",56.93
SLTA Umum/SMU," 13,899,839 "," 2,204,377 "," 16,104,216 ",86.31," 2,272,737 "," 4,265,402 "," 1,112,755 "," 7,650,894 "," 23,755,110 ",67.79," 14,396,863 "," 2,403,394 "," 16,800,257 ",85.69," 2,423,366 "," 4,232,822 "," 908,358 "," 7,564,546 "," 24,364,803 ",68.95
SLTA Kejuruan/SMK," 6,708,513 "," 1,165,582 "," 7,874,095 ",85.20," 341,274 "," 1,631,078 "," 328,060 "," 2,300,412 "," 10,174,507 ",77.39," 6,756,333 "," 1,409,128 "," 8,165,461 ",82.74," 271,355 "," 1,890,590 "," 398,215 "," 2,560,160 "," 10,725,621 ",76.13
Akademi/Diploma," 2,660,606 "," 519,867 "," 3,180,473 ",83.65," 121,589 "," 630,005 "," 203,687 "," 955,281 "," 4,135,754 ",76.90," 2,871,868 "," 362,683 "," 3,234,551 ",88.79," 44,097 "," 470,631 "," 122,495 "," 637,223 "," 3,871,774 ",83.54
Universitas," 3,769,002 "," 626,202 "," 4,395,204 ",85.75," 42,838 "," 477,135 "," 180,381 "," 700,354 "," 5,095,558 ",86.26," 4,154,579 "," 598,318 "," 4,752,897 ",87.41," 32,624 "," 431,718 "," 158,202 "," 622,544 "," 5,375,441 ",88.42
Tak Terjawab, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
